case_id,scene_id,generation,is_ood,expected_degradation,expected_tool,raw_degradation,raw_tool,raw_correct,fused_degradation,fused_tool,fused_correct,decision_source,routing_confidence,diagnosis_seconds,peak_gpu_memory_gb,total_runtime_seconds,run_report
GOPR0868_11_00__lowlight_gain030,GOPR0868_11_00,lowlight_gain030,False,low_light,enhance_lowlight,low_light,enhance_lowlight,True,unknown,manual_review,False,abstain_objective_uncertain,0.0,0.946,5.844,6.124,outputs/heldout_v2_final/GOPR0868_11_00__lowlight_gain030/single/run_report.json
GOPR0868_11_00__lowlight_gain012,GOPR0868_11_00,lowlight_gain012,False,low_light,enhance_lowlight,low_light,enhance_lowlight,True,low_light,enhance_lowlight,True,vlm_objective_agreement,0.822,0.946,5.843,9.935,outputs/heldout_v2_final/GOPR0868_11_00__lowlight_gain012/single/run_report.json
GOPR0868_11_00__jpeg_quality10,GOPR0868_11_00,jpeg_quality10,True,jpeg,manual_review,noise,denoise,False,unknown,manual_review,True,abstain_vlm_objective_disagreement,0.0,0.88,5.844,5.978,outputs/heldout_v2_final/GOPR0868_11_00__jpeg_quality10/single/run_report.json
GOPR0868_11_00__mixed_blur_noise,GOPR0868_11_00,mixed_blur_noise,True,mixed,manual_review,blur,deblur,False,unknown,manual_review,True,abstain_vlm_objective_disagreement,0.0,0.943,5.844,6.164,outputs/heldout_v2_final/GOPR0868_11_00__mixed_blur_noise/single/run_report.json
GOPR0868_11_00__unknown_color_cast,GOPR0868_11_00,unknown_color_cast,True,unknown,manual_review,noise,denoise,False,unknown,manual_review,True,abstain_vlm_objective_disagreement,0.0,0.893,5.843,6.097,outputs/heldout_v2_final/GOPR0868_11_00__unknown_color_cast/single/run_report.json
GOPR0871_11_00__clean,GOPR0871_11_00,clean,False,clean,none,noise,denoise,False,unknown,manual_review,False,abstain_vlm_objective_disagreement,0.0,0.888,5.844,6.126,outputs/heldout_v2_final/GOPR0871_11_00__clean/single/run_report.json
GOPR0871_11_00__blur,GOPR0871_11_00,blur,False,blur,deblur,blur,deblur,True,blur,deblur,True,vlm_objective_agreement,0.8931,0.937,5.843,15.338,outputs/heldout_v2_final/GOPR0871_11_00__blur/single/run_report.json
GOPR0871_11_00__noise_sigma12,GOPR0871_11_00,noise_sigma12,False,noise,denoise,blur,deblur,False,unknown,manual_review,False,abstain_vlm_objective_disagreement,0.0,0.937,5.843,6.111,outputs/heldout_v2_final/GOPR0871_11_00__noise_sigma12/single/run_report.json
GOPR0871_11_00__noise_sigma35,GOPR0871_11_00,noise_sigma35,False,noise,denoise,jpeg,manual_review,False,unknown,manual_review,False,abstain_vlm_objective_disagreement,0.0,0.863,5.844,6.056,outputs/heldout_v2_final/GOPR0871_11_00__noise_sigma35/single/run_report.json
GOPR0871_11_00__lowlight_gain030,GOPR0871_11_00,lowlight_gain030,False,low_light,enhance_lowlight,low_light,enhance_lowlight,True,unknown,manual_review,False,abstain_objective_uncertain,0.0,0.949,5.844,6.128,outputs/heldout_v2_final/GOPR0871_11_00__lowlight_gain030/single/run_report.json
GOPR0871_11_00__lowlight_gain012,GOPR0871_11_00,lowlight_gain012,False,low_light,enhance_lowlight,low_light,enhance_lowlight,True,low_light,enhance_lowlight,True,vlm_objective_agreement,0.826,0.947,5.843,10.076,outputs/heldout_v2_final/GOPR0871_11_00__lowlight_gain012/single/run_report.json
GOPR0871_11_00__jpeg_quality10,GOPR0871_11_00,jpeg_quality10,True,jpeg,manual_review,clean,none,False,clean,none,False,vlm_objective_agreement,0.9008,0.847,5.844,5.94,outputs/heldout_v2_final/GOPR0871_11_00__jpeg_quality10/single/run_report.json
GOPR0871_11_00__mixed_blur_noise,GOPR0871_11_00,mixed_blur_noise,True,mixed,manual_review,blur,deblur,False,unknown,manual_review,True,abstain_vlm_objective_disagreement,0.0,0.874,5.844,6.034,outputs/heldout_v2_final/GOPR0871_11_00__mixed_blur_noise/single/run_report.json
GOPR0871_11_00__unknown_color_cast,GOPR0871_11_00,unknown_color_cast,True,unknown,manual_review,noise,denoise,False,unknown,manual_review,True,abstain_vlm_objective_disagreement,0.0,0.889,5.844,6.074,outputs/heldout_v2_final/GOPR0871_11_00__unknown_color_cast/single/run_report.json
